User_ID,Age,Gender,Occupation,Relationship_Status,Primary_Platform,Daily_Usage_Hours,Platforms_Used_Count,Posts_Per_Week,Late_Night_Usage,First_Check_Morning,Notifications_Per_Day,FOMO_Score,Social_Comparison_Score,Validation_Seeking_Score,Scroll_Without_Purpose,Tried_To_Cut_Back,Failed_To_Cut_Back,Anxiety_Score,Depression_Score,Loneliness_Score,Self_Esteem_Score,Sleep_Quality_Score,Sleep_Hours,Productivity_Loss_Score,Offline_Relationship_Quality,Physical_Activity_Hrs_Week,Screen_Free_Time_Hrs,Mental_Wellbeing_Score,Addiction_Level
USR00381,31,Male,Working Professional,Single,TikTok,8.1,6,3,Yes,Within 5 min,57,2.1,,6.4,2.7,No,No,6.4,4.6,0.5,6.7,1.7,6.1,4.9,6.2,4.9,5.4,5.9,High
USR00382,25,Male,Freelancer,Single,TikTok,4.8,3,3,No,Within 5 min,58,3.5,3.5,3.7,1.1,,Yes,5.3,5.0,4.4,2.5,6.4,7.8,2.1,2.4,0.0,2.8,6.9,Moderate
USR00383,37,Non-binary,Working Professional,Single,YouTube,3.9,1,10,Yes,Within 5 min,59,5.4,3.8,5.6,5.5,No,No,5.8,4.5,3.5,2.9,8.2,6.4,5.9,,1.8,3.8,5.8,High
USR00384,29,Female,Unemployed,Married,TikTok,3.7,3,4,No,Within 5 min,70,10.0,4.5,3.6,3.7,No,Yes,4.7,6.4,7.1,5.5,7.6,4.6,9.1,7.3,3.5,3.7,5.2,High
USR00385,19,Female,Freelancer,Single,Snapchat,1.7,1,5,,After 30 min,6,7.1,1.9,2.4,5.6,Yes,No,2.5,5.8,3.8,4.0,6.7,,2.5,5.6,2.0,2.3,9.1,Low
USR00386,29,Female,Working Professional,Married,YouTube,6.2,1,3,Yes,5-30 min,48,6.2,9.5,6.6,5.2,No,No,,0.0,4.2,5.4,5.4,7.5,8.5,,0.4,1.3,4.8,Severe
USR00387,21,Male,,In a Relationship,TikTok,3.2,3,1,Yes,Within 5 min,28,3.7,2.3,3.4,5.6,No,Yes,5.9,0.9,4.5,5.7,8.8,7.9,6.4,6.0,4.1,4.6,6.3,Moderate
USR00388,28,Male,Student,In a Relationship,Snapchat,12.0,1,2,Yes,Within 5 min,56,6.0,6.2,5.7,9.4,Yes,No,7.5,5.1,3.3,4.8,3.0,7.6,6.5,2.4,2.9,5.7,3.7,Severe
USR00389,17,Male,Freelancer,Single,YouTube,5.5,4,5,Yes,Within 5 min,67,5.6,8.0,7.7,7.1,No,Yes,1.0,6.2,6.8,3.5,3.8,7.8,6.8,4.5,6.3,0.0,4.7,Severe
USR00390,27,Non-binary,Working Professional,Single,Facebook,3.3,5,3,No,Within 5 min,106,4.5,4.0,4.7,8.9,Yes,Yes,5.5,8.2,4.9,7.7,9.1,6.0,5.1,10.0,3.2,5.8,6.9,Moderate
USR00391,37,Male,Unemployed,Single,Instagram,2.0,2,3,No,Within 5 min,64,5.3,4.3,,4.7,Yes,No,3.0,8.0,3.1,6.2,2.7,7.9,3.9,5.2,1.4,0.1,6.8,Moderate
USR00392,39,Non-binary,Working Professional,In a Relationship,Instagram,3.5,1,2,Yes,Within 5 min,88,7.9,4.9,3.2,7.9,Yes,No,4.4,5.5,2.9,7.6,6.1,6.1,6.0,7.2,,1.7,6.3,Moderate
USR00393,44,Male,Working Professional,Single,YouTube,5.4,4,4,No,Within 5 min,103,3.8,,3.1,6.2,No,,4.5,6.1,4.6,9.5,7.3,4.7,0.0,,,2.2,9.2,Low
USR00394,42,Female,Working Professional,Married,Instagram,3.3,1,5,Yes,After 30 min,115,6.3,8.3,7.0,9.3,No,No,6.7,,5.0,6.4,7.4,5.0,5.9,9.2,2.9,1.5,6.6,Moderate
USR00395,42,Female,Working Professional,Single,Facebook,5.8,3,4,No,5-30 min,16,4.0,8.8,4.7,3.5,Yes,No,6.4,4.0,6.3,5.6,3.1,6.7,0.8,5.6,0.9,2.1,6.9,Low
USR00396,38,Male,Working Professional,Single,TikTok,6.0,1,4,No,Within 5 min,41,5.6,4.1,7.2,5.6,No,No,3.9,4.3,5.4,5.5,8.0,6.8,5.7,5.3,0.9,3.9,7.4,Low
USR00397,31,Female,Unemployed,In a Relationship,Snapchat,5.7,1,2,Yes,After 30 min,77,5.2,5.8,6.5,5.6,Yes,No,6.1,5.1,2.8,2.9,4.0,3.7,4.9,8.8,1.5,3.8,7.3,Moderate
USR00398,29,Female,Working Professional,In a Relationship,YouTube,5.6,3,2,No,After 30 min,5,7.6,5.4,6.5,0.3,Yes,Yes,0.9,5.0,4.3,2.5,8.8,7.3,7.1,2.7,4.6,2.1,6.8,Low
USR00399,43,Female,,Single,Instagram,,2,0,Yes,Within 5 min,56,7.0,5.6,5.6,5.4,No,No,3.4,4.7,4.9,6.5,3.5,6.0,3.2,7.1,5.0,0.2,5.4,High
USR00400,20,Female,Student,,TikTok,3.1,6,9,No,Within 5 min,82,5.8,5.8,6.1,2.2,Yes,,5.4,3.7,7.2,3.0,6.5,7.6,7.1,4.1,7.3,3.9,6.0,Moderate
USR00401,23,Female,Student,Married,YouTube,1.9,7,4,No,5-30 min,79,5.4,1.7,4.6,8.7,No,No,4.8,7.3,5.3,5.5,2.0,6.5,5.0,3.6,5.3,4.5,7.2,Moderate
USR00402,44,Female,Working Professional,In a Relationship,TikTok,1.1,3,4,No,Within 5 min,26,5.0,8.0,4.6,6.5,Yes,No,6.5,7.0,2.4,4.6,,4.6,6.4,7.9,4.4,1.0,7.4,Low
USR00403,24,Male,Working Professional,Married,Instagram,3.6,6,2,No,5-30 min,53,6.7,6.3,7.7,1.7,Yes,Yes,4.0,3.9,2.3,3.8,3.8,4.7,5.8,5.0,2.4,4.3,6.2,High
USR00404,27,Non-binary,Student,In a Relationship,Facebook,5.9,4,3,Yes,5-30 min,14,3.7,6.2,7.0,3.6,Yes,Yes,2.4,3.3,1.2,1.7,7.7,7.1,7.3,7.1,1.2,0.0,7.1,Moderate
USR00405,38,Female,Working Professional,In a Relationship,TikTok,4.5,4,3,No,Within 5 min,37,6.7,4.2,2.5,3.3,Yes,No,7.5,,6.5,2.8,6.3,6.4,4.3,6.2,2.6,3.9,6.8,Moderate
USR00406,22,Male,Unemployed,Single,YouTube,2.3,4,3,No,Within 5 min,65,6.2,2.1,5.6,4.8,Yes,Yes,7.7,3.0,4.6,6.0,6.7,6.1,8.1,9.7,2.3,3.2,7.6,Low
USR00407,29,Non-binary,Working Professional,Single,YouTube,6.4,5,6,No,After 30 min,57,6.3,6.5,5.8,7.7,Yes,Yes,4.5,1.1,5.2,7.5,4.2,8.2,3.2,4.6,1.5,2.2,6.2,High
USR00408,21,Male,Working Professional,Married,TikTok,2.5,3,3,Yes,Within 5 min,29,8.7,7.6,8.1,3.7,Yes,Yes,5.4,3.2,10.0,4.9,4.7,8.4,8.1,7.8,1.7,1.7,3.6,Severe
USR00409,17,Female,Working Professional,In a Relationship,Twitter/X,2.1,8,5,No,5-30 min,64,6.8,5.3,7.6,0.8,No,Yes,6.0,3.0,5.6,3.6,7.0,8.0,6.0,8.5,0.5,4.3,7.9,Low
USR00410,20,Female,Freelancer,Married,Instagram,2.5,3,3,No,5-30 min,79,6.5,6.0,7.0,5.1,Yes,No,10.0,4.0,1.8,5.2,6.5,8.7,1.7,5.3,0.0,3.5,7.8,Low
USR00411,37,Female,Student,Single,Facebook,3.1,2,2,No,Within 5 min,37,3.3,8.0,4.0,9.1,No,No,7.2,6.4,7.0,5.4,8.2,5.3,4.7,2.9,2.3,10.3,7.8,Low
USR00412,32,,Working Professional,Single,YouTube,4.3,1,2,No,5-30 min,74,4.2,4.0,5.8,3.2,Yes,No,3.4,7.8,4.7,2.1,7.3,6.2,6.9,8.3,6.5,7.4,8.2,Low
USR00413,29,Male,Working Professional,Single,Instagram,1.9,6,5,No,5-30 min,72,7.9,4.8,2.9,3.1,Yes,No,8.3,4.0,6.6,4.2,5.1,7.7,4.5,5.8,3.5,2.8,7.0,Moderate
USR00414,24,Female,Student,In a Relationship,Twitter/X,1.1,4,3,No,Within 5 min,77,7.2,3.2,4.8,10.0,Yes,Yes,5.2,3.5,6.4,4.8,3.4,7.1,4.5,5.2,4.1,5.4,6.3,High
USR00415,18,,Working Professional,Single,TikTok,5.4,1,4,No,Within 5 min,54,6.1,5.1,4.1,9.2,No,No,6.3,3.7,0.0,6.4,2.8,5.3,,7.6,3.0,0.6,6.5,High
USR00416,30,Female,Student,Single,Facebook,5.0,2,1,Yes,After 30 min,5,4.1,8.9,6.2,5.7,No,No,6.8,,4.5,9.9,7.8,5.9,1.2,4.6,3.1,3.7,8.2,Low
USR00417,35,Male,Student,In a Relationship,TikTok,5.5,1,8,Yes,5-30 min,118,8.0,5.7,4.5,7.6,No,Yes,4.5,0.0,7.1,5.5,6.4,6.9,6.7,3.0,7.1,6.5,3.5,Severe
USR00418,15,Female,Student,Married,Twitter/X,6.1,5,5,Yes,Within 5 min,92,2.9,9.9,2.7,6.6,,No,6.8,3.9,4.6,5.5,10.0,5.9,3.6,4.8,2.0,3.1,6.2,Moderate
USR00419,18,Female,Student,Married,Instagram,4.6,3,4,Yes,5-30 min,128,5.2,6.1,4.8,5.3,Yes,Yes,1.6,3.8,2.2,4.3,6.1,8.5,7.2,3.6,4.2,,5.2,Severe
USR00420,36,Female,Working Professional,In a Relationship,YouTube,8.2,8,5,No,5-30 min,47,4.0,,5.5,3.0,No,No,5.4,7.9,4.6,7.3,3.1,7.4,1.6,4.2,5.9,1.8,8.0,Low
USR00421,21,Female,Student,,Instagram,4.1,5,3,No,5-30 min,101,2.3,5.6,4.2,3.8,No,Yes,6.6,5.9,3.5,8.1,5.2,6.1,3.1,8.4,4.9,3.6,7.4,Low
USR00422,35,Female,Freelancer,Married,Facebook,4.4,1,7,Yes,5-30 min,78,9.8,5.1,4.4,4.7,Yes,Yes,9.0,9.8,5.0,6.0,,6.1,3.8,8.3,3.7,3.8,6.8,Moderate
USR00423,15,Female,Student,In a Relationship,TikTok,7.2,7,5,Yes,After 30 min,92,2.0,6.5,0.0,8.8,No,No,4.8,6.7,1.4,5.9,2.6,8.3,3.7,4.9,3.4,1.9,4.9,Moderate
USR00424,35,Female,Freelancer,Single,Twitter/X,5.3,4,6,Yes,After 30 min,15,7.3,7.2,4.8,7.2,Yes,Yes,6.7,2.8,4.6,6.6,6.9,8.1,7.0,4.0,2.7,1.8,5.6,High
USR00425,16,Male,Working Professional,Married,Twitter/X,4.2,1,6,No,5-30 min,35,5.5,4.3,7.3,6.4,No,No,4.7,7.4,6.7,4.0,5.7,5.2,,5.2,4.1,3.5,6.7,Low
USR00426,36,Female,Student,Single,Instagram,4.5,3,5,Yes,5-30 min,5,6.9,6.9,2.2,2.2,No,No,7.2,2.6,4.6,4.1,4.1,7.0,4.4,9.3,4.1,0.9,7.4,Moderate
USR00427,17,Female,Freelancer,Married,TikTok,2.0,3,3,Yes,After 30 min,121,9.7,6.2,,9.3,No,Yes,3.1,3.8,0.9,7.4,5.2,8.0,5.8,9.0,4.3,2.2,6.2,High
USR00428,26,Female,Working Professional,Married,Snapchat,5.9,2,3,No,After 30 min,110,5.3,7.2,2.3,8.7,No,No,3.3,7.6,6.1,5.0,4.1,5.0,4.7,,2.9,5.7,8.2,Moderate
USR00429,30,Male,Student,Single,TikTok,4.0,4,5,No,5-30 min,38,0.6,4.3,7.8,4.6,No,No,5.9,6.9,0.0,5.3,7.9,6.4,2.0,8.4,1.3,0.0,9.6,Low
USR00430,26,Male,Freelancer,In a Relationship,Instagram,5.4,2,4,Yes,Within 5 min,31,6.2,4.7,5.3,6.3,,No,6.4,4.8,6.0,7.4,4.6,3.0,3.9,,1.7,3.4,4.8,High
USR00431,19,Non-binary,Student,In a Relationship,Facebook,7.2,3,5,No,Within 5 min,106,8.5,6.9,8.6,2.8,No,No,7.4,0.0,2.6,3.4,4.0,8.0,3.5,7.1,5.0,3.7,5.5,High
USR00432,23,Female,Working Professional,Single,,6.1,4,8,No,Within 5 min,28,,3.2,,4.8,No,Yes,5.0,2.6,2.9,3.7,4.5,6.6,3.3,1.1,3.4,4.8,6.0,High
USR00433,28,Male,Working Professional,Single,Twitter/X,5.0,5,7,No,5-30 min,52,3.0,9.7,2.0,1.1,No,Yes,1.9,3.2,,7.2,4.4,5.3,7.0,8.3,5.4,4.8,9.0,Low
USR00434,26,Female,Working Professional,In a Relationship,Instagram,5.3,4,1,Yes,After 30 min,79,7.0,3.7,4.4,4.5,Yes,No,7.6,6.2,3.0,4.6,5.5,6.8,2.9,5.4,4.5,3.0,7.2,Low
USR00435,44,Female,Working Professional,In a Relationship,YouTube,4.8,3,0,No,Within 5 min,115,7.0,3.4,3.3,3.8,Yes,No,4.0,6.0,4.0,5.4,4.7,4.5,5.7,7.1,1.0,4.4,6.5,Low
USR00436,22,Female,Freelancer,In a Relationship,TikTok,8.0,3,8,Yes,Within 5 min,96,4.8,5.5,6.4,7.0,Yes,No,7.5,4.9,4.5,6.7,5.8,6.3,5.4,5.0,0.0,3.2,4.0,Severe
USR00437,36,Female,Working Professional,Single,Twitter/X,0.6,4,8,Yes,Within 5 min,73,3.4,7.2,4.4,6.5,Yes,No,7.9,2.2,5.0,3.5,5.0,5.7,3.3,8.2,1.7,0.5,6.1,Moderate
USR00438,22,Male,Student,Single,Instagram,3.6,3,1,Yes,5-30 min,112,4.9,5.5,,4.5,Yes,No,5.0,0.0,2.3,2.8,6.1,5.4,5.7,3.6,2.7,3.9,6.6,Moderate
USR00439,36,Male,Working Professional,Single,Snapchat,,1,2,No,5-30 min,17,6.2,3.3,1.7,4.1,Yes,Yes,5.6,5.0,3.4,5.8,8.4,5.1,5.6,7.4,5.8,0.0,8.2,Low
USR00440,34,Male,Working Professional,Married,Instagram,5.4,2,2,Yes,5-30 min,7,6.2,6.8,5.4,7.7,Yes,No,4.4,1.3,7.9,10.0,7.5,6.1,6.7,6.5,4.3,3.3,6.6,Moderate
USR00441,22,Male,Student,In a Relationship,YouTube,4.1,5,6,Yes,After 30 min,5,6.3,3.8,1.9,2.3,No,No,7.9,,10.0,4.2,4.0,6.8,6.5,7.0,1.9,3.1,7.4,Low
USR00442,37,Male,Working Professional,In a Relationship,TikTok,4.7,4,4,No,5-30 min,5,7.8,6.2,0.0,3.8,Yes,,6.0,6.5,4.6,2.8,6.0,5.0,6.0,4.2,1.6,3.5,7.5,Low
USR00443,28,Female,Working Professional,Single,Snapchat,8.5,3,3,No,Within 5 min,133,4.6,5.6,2.4,6.5,No,No,3.0,1.1,1.2,,5.4,3.4,4.7,5.3,5.5,4.4,6.6,Moderate
USR00444,33,Female,Working Professional,Married,Twitter/X,5.1,2,8,Yes,5-30 min,95,3.9,1.7,0.2,5.5,No,No,10.0,5.5,5.1,6.5,5.0,7.6,1.8,3.7,2.5,1.7,7.9,Low
USR00445,18,Female,Student,Married,TikTok,6.3,4,2,No,Within 5 min,120,4.5,3.5,4.6,5.0,Yes,No,3.6,5.3,6.4,3.0,4.7,5.0,2.8,3.4,3.6,0.8,6.3,Moderate
USR00446,32,Non-binary,Working Professional,Married,TikTok,3.7,6,4,Yes,After 30 min,5,3.8,4.4,6.3,4.6,No,No,5.5,6.6,3.4,4.0,5.2,6.8,2.1,5.3,,1.8,8.4,Low
USR00447,16,Male,Working Professional,Single,TikTok,3.1,7,5,No,5-30 min,103,3.7,7.1,6.8,4.9,Yes,No,3.5,8.8,5.3,3.1,7.1,6.8,3.7,3.8,3.5,5.7,7.3,Low
USR00448,23,Male,Working Professional,,,2.4,1,3,No,After 30 min,56,5.9,4.0,5.2,5.3,No,Yes,7.3,6.5,4.8,6.5,6.6,7.3,3.7,2.3,2.2,1.0,7.4,Low
USR00449,35,Female,Freelancer,In a Relationship,TikTok,7.5,4,7,No,5-30 min,5,3.6,4.6,1.9,6.9,Yes,No,6.8,6.9,3.9,6.3,6.0,4.7,5.5,9.7,5.6,1.8,7.7,Low
USR00450,30,Female,Student,In a Relationship,,2.2,4,3,No,Within 5 min,21,5.3,4.4,3.2,6.1,Yes,No,2.0,2.4,4.3,3.9,4.9,6.9,,6.0,2.4,2.0,8.1,Low
USR00451,25,Male,Student,Single,Instagram,3.5,5,5,Yes,After 30 min,72,0.3,5.8,1.7,3.0,,No,6.8,8.1,7.0,10.0,,4.8,5.5,2.8,,3.8,8.4,Low
USR00452,33,Non-binary,Student,Single,Twitter/X,9.3,1,2,No,Within 5 min,33,9.2,2.0,3.8,6.2,No,Yes,8.7,3.9,2.6,0.5,2.0,6.1,1.5,3.7,5.0,0.0,4.6,Severe
USR00453,42,Female,Freelancer,Married,,5.3,5,5,Yes,5-30 min,71,6.6,,9.3,7.3,No,Yes,4.3,3.9,4.5,6.0,6.3,8.5,5.4,7.1,5.1,1.5,4.6,Severe
USR00454,42,Female,Freelancer,Married,Twitter/X,4.6,4,5,Yes,After 30 min,38,5.1,,0.0,3.9,No,Yes,3.3,5.2,5.2,3.8,9.4,6.3,6.3,6.2,4.3,3.7,8.0,Low
USR00455,32,Male,Student,In a Relationship,Instagram,4.0,3,5,No,After 30 min,38,4.8,2.6,2.1,3.4,Yes,,4.5,0.4,4.5,,7.4,8.2,3.8,4.6,3.9,2.3,10.0,Low
USR00456,41,Female,Freelancer,Single,Twitter/X,2.1,4,4,Yes,5-30 min,23,4.9,2.2,7.2,7.0,Yes,No,6.7,6.5,2.8,3.2,7.4,4.6,7.6,7.6,2.6,2.7,7.6,Low
USR00457,22,Male,Working Professional,,YouTube,5.3,1,1,No,5-30 min,53,7.1,3.3,,5.4,Yes,Yes,3.0,7.1,5.4,2.2,2.7,7.5,10.0,6.9,1.4,4.4,6.8,Moderate
USR00458,15,Male,Unemployed,In a Relationship,Instagram,6.6,2,3,Yes,After 30 min,19,7.6,6.8,2.8,6.9,Yes,Yes,6.6,2.9,2.4,3.7,5.6,6.0,4.9,6.8,3.1,1.4,5.5,High
USR00459,23,Female,Working Professional,In a Relationship,Snapchat,2.7,2,0,No,5-30 min,64,3.1,6.3,3.0,4.0,Yes,,2.0,5.5,5.9,7.4,4.5,7.3,4.4,3.4,0.0,0.2,7.8,Low
USR00460,28,Female,Freelancer,Single,YouTube,3.5,6,4,Yes,5-30 min,93,10.0,5.0,7.2,5.2,Yes,Yes,4.2,1.3,4.1,4.2,5.1,8.3,2.2,1.5,5.1,3.3,4.4,Severe
USR00461,39,Female,Working Professional,Single,YouTube,8.0,5,4,,5-30 min,49,6.8,4.8,7.5,7.2,No,Yes,6.8,6.7,5.9,1.2,2.4,6.9,7.9,6.7,3.6,3.3,5.5,Severe
USR00462,27,Male,Student,In a Relationship,Instagram,3.8,6,2,Yes,After 30 min,90,,5.5,4.3,3.3,Yes,No,3.5,3.9,5.7,6.8,5.9,6.4,6.8,7.4,1.4,3.5,6.4,Moderate
USR00463,32,Male,Freelancer,In a Relationship,Instagram,6.1,4,4,Yes,Within 5 min,20,8.2,2.8,4.9,4.7,Yes,Yes,8.0,7.8,4.0,5.4,4.6,5.6,5.2,1.4,2.7,3.5,4.2,Severe
USR00464,17,Non-binary,Student,Single,TikTok,9.3,3,5,Yes,Within 5 min,5,7.8,3.4,7.1,1.9,Yes,No,6.8,3.3,5.9,5.8,7.7,,,0.0,0.0,4.4,6.1,High
USR00465,18,Non-binary,Freelancer,Single,Facebook,2.7,5,2,Yes,5-30 min,102,4.4,4.4,2.5,4.7,Yes,No,6.7,3.1,6.7,1.4,5.0,7.1,4.0,4.4,0.7,3.7,7.3,Low
USR00466,43,Female,Working Professional,Married,TikTok,4.4,7,7,Yes,Within 5 min,53,6.8,3.6,4.4,5.0,No,No,2.1,5.2,4.4,5.8,6.2,9.2,3.4,6.1,3.0,1.2,5.5,Moderate
USR00467,15,Male,Student,In a Relationship,Twitter/X,2.6,2,6,Yes,5-30 min,61,6.5,5.9,9.3,7.4,Yes,No,4.5,,5.5,3.8,3.9,4.4,4.6,3.0,3.4,2.2,6.3,High
USR00468,41,Male,Working Professional,Single,Instagram,0.5,3,1,Yes,After 30 min,63,5.2,7.1,8.8,4.1,Yes,Yes,4.5,,7.0,4.4,5.2,5.2,2.3,2.6,0.7,2.9,6.2,High
USR00469,32,Male,Freelancer,Single,Facebook,7.2,3,5,Yes,After 30 min,5,5.2,4.7,6.2,7.1,Yes,Yes,8.6,1.4,4.8,5.9,6.5,5.4,2.8,8.3,3.4,1.6,6.4,High
USR00470,26,Female,Student,In a Relationship,Facebook,5.8,3,3,No,Within 5 min,54,6.0,4.5,9.9,8.0,No,No,2.8,4.3,3.3,6.3,8.8,5.6,5.3,4.7,2.9,1.4,6.4,Moderate
USR00471,16,Male,Student,Single,Instagram,3.9,2,2,Yes,After 30 min,14,7.7,7.6,10.0,6.3,No,Yes,2.8,3.1,5.6,,6.3,6.8,4.1,4.6,1.7,0.0,6.3,High
USR00472,20,Male,Freelancer,Married,YouTube,5.5,5,2,Yes,After 30 min,117,4.9,8.2,5.2,3.4,No,No,3.4,3.5,3.8,3.3,5.1,,5.2,7.8,6.6,2.4,7.6,Low
USR00473,20,Male,Student,In a Relationship,YouTube,3.3,4,5,No,5-30 min,51,6.6,5.7,6.7,7.5,Yes,No,8.1,5.1,4.8,7.6,5.6,7.2,2.0,6.7,3.8,0.0,6.6,Moderate
USR00474,37,Female,Student,Single,Facebook,1.5,5,9,No,5-30 min,6,6.3,2.2,8.0,7.3,No,No,,3.4,3.0,6.5,6.5,6.5,3.0,7.7,0.0,3.1,9.2,Low
USR00475,31,Female,,Single,,3.2,3,3,Yes,After 30 min,109,4.1,6.5,5.8,4.3,Yes,,3.5,1.7,2.2,7.1,5.3,6.5,3.7,4.2,6.0,3.0,6.2,Moderate
USR00476,24,Female,Working Professional,Married,TikTok,2.9,3,3,No,Within 5 min,53,6.4,10.0,4.8,6.1,Yes,No,0.2,0.6,,4.3,7.8,5.4,5.8,5.3,0.5,1.0,7.0,Moderate
USR00477,42,Male,Unemployed,Single,Instagram,2.4,3,0,No,After 30 min,48,7.6,5.1,6.2,7.7,Yes,Yes,6.6,4.0,3.7,6.5,2.1,4.8,6.7,6.4,3.8,2.0,6.6,High
USR00478,34,Male,Student,In a Relationship,Instagram,6.7,5,4,Yes,5-30 min,40,5.9,3.9,1.8,5.0,Yes,Yes,5.5,6.0,4.6,9.3,2.0,7.3,4.2,6.5,4.4,2.6,5.6,High
USR00479,26,Female,Student,Married,TikTok,2.7,2,2,Yes,After 30 min,100,1.6,3.8,5.7,4.9,Yes,Yes,4.6,5.7,3.5,2.5,2.8,6.5,7.1,5.1,2.4,2.2,6.9,Moderate
USR00480,33,Male,Unemployed,Single,YouTube,2.2,4,5,No,Within 5 min,5,3.3,3.3,5.6,5.2,Yes,Yes,4.3,5.0,1.2,8.0,3.5,7.3,4.7,2.0,3.8,3.6,7.8,Low
USR00481,35,Female,Working Professional,Married,Twitter/X,4.9,4,4,Yes,Within 5 min,144,2.9,5.7,1.4,3.9,Yes,No,5.8,3.2,3.9,5.0,5.1,8.4,4.3,9.4,2.2,3.2,7.1,Low
USR00482,17,Female,Freelancer,Single,,5.5,3,2,Yes,5-30 min,49,6.7,5.0,7.1,4.5,Yes,Yes,3.9,9.6,4.7,4.9,7.6,5.6,3.2,5.8,1.8,3.9,5.3,High
USR00483,30,Male,Student,Married,Twitter/X,8.0,1,5,No,5-30 min,122,1.6,9.0,3.9,4.4,No,Yes,3.8,0.8,5.0,4.6,8.8,6.3,7.2,,,2.2,5.1,Moderate
USR00484,23,Male,Student,In a Relationship,TikTok,5.1,2,3,No,5-30 min,5,7.0,3.1,7.2,7.0,No,No,6.3,7.0,5.3,5.3,8.2,,4.3,8.6,0.0,5.4,8.0,Low
USR00485,41,Female,Freelancer,In a Relationship,Facebook,1.6,1,2,Yes,5-30 min,88,6.9,1.7,2.8,5.1,Yes,No,5.6,2.4,5.8,7.3,7.0,4.8,0.0,6.7,0.0,4.4,8.9,Low
USR00486,35,,Student,Married,Instagram,2.6,2,3,No,5-30 min,69,7.9,3.3,8.3,3.1,Yes,Yes,6.6,1.4,6.0,4.6,7.1,8.3,3.2,,0.9,4.0,7.0,Moderate
USR00487,40,Non-binary,Student,Married,Facebook,6.5,5,3,No,Within 5 min,53,7.1,8.0,1.9,5.4,Yes,Yes,3.5,8.0,4.4,6.2,5.1,6.2,7.3,2.6,5.5,3.2,5.9,High
USR00488,31,Male,Student,Single,Instagram,3.1,3,4,No,5-30 min,82,8.9,9.1,5.7,2.7,No,No,7.4,4.5,5.5,5.4,6.3,,5.4,9.5,0.9,0.0,7.0,Moderate
USR00489,25,Male,Student,Single,TikTok,5.5,3,2,Yes,Within 5 min,26,6.4,6.9,4.2,5.9,No,Yes,4.1,3.5,3.6,5.0,,,4.5,8.0,2.2,5.1,5.7,High
USR00490,15,Female,Student,Married,Instagram,8.4,3,2,Yes,5-30 min,55,3.4,5.0,4.4,9.0,No,No,,6.2,5.7,8.3,8.5,7.5,,6.1,3.9,3.1,6.1,High
USR00491,41,Male,,Single,TikTok,1.4,5,2,,5-30 min,79,5.4,7.2,4.1,6.8,No,No,5.8,3.3,7.2,,5.2,6.1,5.7,3.7,3.0,0.0,6.0,High
USR00492,28,Non-binary,Student,In a Relationship,Instagram,1.4,4,4,No,After 30 min,54,9.1,5.0,3.6,6.5,,Yes,7.8,3.0,6.7,4.6,7.0,8.1,4.9,6.7,2.6,4.8,7.0,Moderate
USR00493,17,Male,Working Professional,Married,Twitter/X,4.1,3,3,No,Within 5 min,5,6.2,7.3,,6.0,No,No,5.1,4.7,5.5,6.8,6.7,7.2,8.5,4.6,3.9,4.5,5.7,High
USR00494,37,Male,Working Professional,Married,TikTok,4.4,7,2,Yes,5-30 min,5,7.4,2.7,4.3,7.7,Yes,,6.0,3.6,5.9,2.8,5.2,7.8,2.1,0.0,1.1,4.1,5.1,Severe
USR00495,43,Male,Working Professional,In a Relationship,YouTube,6.3,4,2,Yes,Within 5 min,53,2.0,3.2,5.7,5.7,Yes,Yes,3.4,7.6,1.7,,7.6,5.8,4.7,6.7,3.9,3.0,6.8,Moderate
USR00496,18,Female,Student,Married,YouTube,1.1,1,8,,5-30 min,22,4.7,8.1,6.1,4.6,No,No,1.2,1.7,4.7,7.7,10.0,7.5,3.5,4.4,5.6,2.3,9.3,Low
USR00497,24,Female,Working Professional,Married,YouTube,5.7,4,3,No,After 30 min,92,7.4,8.4,0.0,4.2,Yes,Yes,2.0,3.7,6.5,7.9,3.2,6.2,6.0,8.9,2.9,2.5,8.2,Low
USR00498,43,Male,Working Professional,Single,Instagram,4.0,3,3,No,After 30 min,50,8.2,4.2,0.0,5.9,No,Yes,4.2,7.4,9.2,,8.6,6.8,5.2,5.3,0.4,4.0,7.4,Low
USR00499,36,Male,Student,Married,Instagram,0.9,4,3,No,Within 5 min,73,4.2,9.4,1.3,6.8,No,No,5.9,4.5,0.0,7.8,6.4,7.3,4.1,2.3,2.0,,6.7,Low
USR00500,30,Female,Working Professional,In a Relationship,Snapchat,4.0,4,5,Yes,5-30 min,75,5.0,3.4,6.4,4.2,Yes,No,2.0,4.6,2.6,,5.2,7.7,6.1,4.0,2.3,,7.1,Moderate
USR00501,35,Female,Unemployed,Single,,5.5,1,4,Yes,Within 5 min,98,3.6,5.4,5.1,6.3,Yes,No,3.3,4.3,4.3,6.8,3.8,5.6,6.9,5.1,2.9,2.5,6.3,Moderate
USR00502,28,Female,Freelancer,Single,Instagram,8.2,5,6,Yes,5-30 min,109,4.9,5.8,0.5,3.0,No,No,5.5,,10.0,7.6,9.4,8.1,7.2,2.9,2.9,3.7,6.3,Moderate
USR00503,21,Male,Working Professional,Single,Twitter/X,3.2,3,5,Yes,Within 5 min,134,4.2,8.3,2.2,4.1,No,No,7.2,4.3,0.7,6.1,,6.7,6.3,5.6,3.8,,6.5,High
